name;type;description
_id;string;
faip;list of [array];
plansNormalized;list of [array];
plansNormalized.sumLastYrNexec;float;
plansNormalized.purpose;string;
plansNormalized.sumLastYrExec;float;
plansNormalized.sumTotal;float;
plansNormalized.byYear;dict;
plansNormalized.byYear.2019;dict;
plansNormalized.byYear.2019.byMonth;dict;
plansNormalized.byYear.2019.byMonth.8;float;
plansNormalized.byYear.2019.byMonth.7;float;
plansNormalized.byYear.2019.byMonth.5;float;
plansNormalized.byYear.2019.byMonth.12;float;
plansNormalized.byYear.2019.byMonth.6;float;
plansNormalized.byYear.2019.byMonth.4;float;
plansNormalized.byYear.2019.byMonth.9;float;
plansNormalized.byYear.2019.byMonth.11;float;
plansNormalized.byYear.2019.byMonth.1;float;
plansNormalized.byYear.2019.byMonth.2;float;
plansNormalized.byYear.2019.byMonth.10;float;
plansNormalized.byYear.2019.byMonth.3;float;
plansNormalized.byYear.2019.total;float;
plansNormalized.byYear.2020;dict;
plansNormalized.byYear.2020.byMonth;dict;
plansNormalized.byYear.2020.byMonth.8;float;
plansNormalized.byYear.2020.byMonth.7;float;
plansNormalized.byYear.2020.byMonth.5;float;
plansNormalized.byYear.2020.byMonth.12;float;
plansNormalized.byYear.2020.byMonth.6;float;
plansNormalized.byYear.2020.byMonth.4;float;
plansNormalized.byYear.2020.byMonth.9;float;
plansNormalized.byYear.2020.byMonth.11;float;
plansNormalized.byYear.2020.byMonth.1;float;
plansNormalized.byYear.2020.byMonth.2;float;
plansNormalized.byYear.2020.byMonth.10;float;
plansNormalized.byYear.2020.byMonth.3;float;
plansNormalized.byYear.2020.total;float;
plansNormalized.byYear.2021;dict;
plansNormalized.byYear.2021.byMonth;dict;
plansNormalized.byYear.2021.byMonth.8;float;
plansNormalized.byYear.2021.byMonth.7;float;
plansNormalized.byYear.2021.byMonth.5;float;
plansNormalized.byYear.2021.byMonth.12;float;
plansNormalized.byYear.2021.byMonth.6;float;
plansNormalized.byYear.2021.byMonth.4;float;
plansNormalized.byYear.2021.byMonth.9;float;
plansNormalized.byYear.2021.byMonth.11;float;
plansNormalized.byYear.2021.byMonth.1;float;
plansNormalized.byYear.2021.byMonth.2;float;
plansNormalized.byYear.2021.byMonth.10;float;
plansNormalized.byYear.2021.byMonth.3;float;
plansNormalized.byYear.2021.total;float;
plansNormalized.byYear.2022;dict;
plansNormalized.byYear.2022.byMonth;dict;
plansNormalized.byYear.2022.byMonth.8;float;
plansNormalized.byYear.2022.byMonth.7;float;
plansNormalized.byYear.2022.byMonth.5;float;
plansNormalized.byYear.2022.byMonth.12;float;
plansNormalized.byYear.2022.byMonth.6;float;
plansNormalized.byYear.2022.byMonth.4;float;
plansNormalized.byYear.2022.byMonth.9;float;
plansNormalized.byYear.2022.byMonth.11;float;
plansNormalized.byYear.2022.byMonth.1;float;
plansNormalized.byYear.2022.byMonth.2;float;
plansNormalized.byYear.2022.byMonth.10;float;
plansNormalized.byYear.2022.byMonth.3;float;
plansNormalized.byYear.2022.total;float;
plansNormalized.byYear.2018;dict;
plansNormalized.byYear.2018.total;float;
plansNormalized.byYear.2018.byMonth;dict;
plansNormalized.byYear.2018.byMonth.6;float;
plansNormalized.byYear.2018.byMonth.12;float;
plansNormalized.byYear.2018.byMonth.4;float;
plansNormalized.byYear.2018.byMonth.9;float;
plansNormalized.byYear.2018.byMonth.7;float;
plansNormalized.byYear.2018.byMonth.8;float;
plansNormalized.byYear.2018.byMonth.10;float;
plansNormalized.byYear.2018.byMonth.2;float;
plansNormalized.byYear.2018.byMonth.1;float;
plansNormalized.byYear.2018.byMonth.3;float;
plansNormalized.byYear.2018.byMonth.5;float;
plansNormalized.byYear.2018.byMonth.11;float;
plansNormalized.byYear.2014;dict;
plansNormalized.byYear.2014.total;float;
plansNormalized.byYear.2014.byMonth;dict;
plansNormalized.byYear.2014.byMonth.1;float;
plansNormalized.byYear.2014.byMonth.6;float;
plansNormalized.byYear.2014.byMonth.5;float;
plansNormalized.byYear.2014.byMonth.2;float;
plansNormalized.byYear.2014.byMonth.8;float;
plansNormalized.byYear.2014.byMonth.12;float;
plansNormalized.byYear.2014.byMonth.10;float;
plansNormalized.byYear.2014.byMonth.3;float;
plansNormalized.byYear.2014.byMonth.9;float;
plansNormalized.byYear.2014.byMonth.11;float;
plansNormalized.byYear.2014.byMonth.4;float;
plansNormalized.byYear.2014.byMonth.7;float;
plansNormalized.byYear.2017;dict;
plansNormalized.byYear.2017.total;float;
plansNormalized.byYear.2017.byMonth;dict;
plansNormalized.byYear.2017.byMonth.6;float;
plansNormalized.byYear.2017.byMonth.12;float;
plansNormalized.byYear.2017.byMonth.4;float;
plansNormalized.byYear.2017.byMonth.9;float;
plansNormalized.byYear.2017.byMonth.7;float;
plansNormalized.byYear.2017.byMonth.8;float;
plansNormalized.byYear.2017.byMonth.10;float;
plansNormalized.byYear.2017.byMonth.2;float;
plansNormalized.byYear.2017.byMonth.1;float;
plansNormalized.byYear.2017.byMonth.3;float;
plansNormalized.byYear.2017.byMonth.5;float;
plansNormalized.byYear.2017.byMonth.11;float;
plansNormalized.byYear.2015;dict;
plansNormalized.byYear.2015.total;float;
plansNormalized.byYear.2015.byMonth;dict;
plansNormalized.byYear.2015.byMonth.6;float;
plansNormalized.byYear.2015.byMonth.12;float;
plansNormalized.byYear.2015.byMonth.4;float;
plansNormalized.byYear.2015.byMonth.9;float;
plansNormalized.byYear.2015.byMonth.7;float;
plansNormalized.byYear.2015.byMonth.8;float;
plansNormalized.byYear.2015.byMonth.10;float;
plansNormalized.byYear.2015.byMonth.2;float;
plansNormalized.byYear.2015.byMonth.1;float;
