name;type;description
_id;string;Уникальный суррогатный ключ
faipSubject;list of [array];График платежей
infosub;list of [array];В блоке отражена информация о неиспользованных по итогам финансового года остаткам субсидий, бюджетных инвестиций, межбюджетных трансфертов.
plans;list of [array];График платежей
plans.sumSkYear;float;Сумма (размер) субсидии в рублях на второй год планового периода.
plans.sumTotal;float;Общая сумма (размер) субсидии
plans.date;string;Дата обновления сведений о соглашении
plans.sumFtYear;float;Сумма (размер) субсидии в рублях на первый год планового периода.
plans.purpose;string;Текстовое пояснение цели и направления расходования средств.
plans.sumOtherYear;float;
plans.code;string;Код цели и направления расходования средств.
plans.sumLastYrNexec;string;Сумма неисполненного обязательства прошлых лет
plans.sumTrYear;float;Сумма (размер) субсидии в рублях на третий год планового периода.
plans.note;string;Примечание
plans.sumMonth;list of [array];Сумма (размер) субсидии в рублях за текущий год по месяцам
plans.analyticalCode;string;Аналитический код
plans.sumYear;float;Сумма (размер) субсидии в рублях на текущий финансовый год.
plans.sumFrYear;float;Сумма (размер) субсидии в рублях на четвертый год планового периода.
plans.kbk;string;КБК по которому предусмотрены ЛБО на предоставление субсидии.
plans.sumLastYrExec;string;Сумма исполненного обязательства прошлых лет
addagreement;list of [array];В блоке указаны сведения о дополнительных соглашениях.
plansSubject;list of [array];График платежей
id;string;Уникальный суррогатный ключ
payments;list of [array];В блоке указаны сведения о платежах по соглашению. Блок является необязательным. Для одного соглашения может указываться несколько платежей.
payments.currencyName;string;Наименование валюты по общероссийскому классификатору валют.
payments.document;string;Документ обоснования
payments.currencyCode;string;Цифровой код валюты по общероссийскому классификатору валют.
payments.date;datetime;Дата передачи файла вложения.
payments.sumCurrency;float;Сумма платежного документа в валюте субсидии.
payments.rate;float;Курс иностранной валюты по отношению к рублю.
payments.num;string;Номер платежного документа.
payments.sumRub;float;Сумма платежного документа в рублях.
infocost;list of [array];В блоке отражена информация об осуществлении расходов, источником финансирования обеспечения которых являются субсидии, бюджетные инвестиции, межбюджетные трансферты.
info;dict;
info.internaldocnum;string;
info.npaKind;string;
info.sum;float;
info.ts_mrk;string;
info.numberNpa;string;
info.code;string;
info.endDate;datetime;
info.loaddate;datetime;
info.ap_mrk;string;
info.nameNpa;string;
info.startDate;datetime;
info.t_summ;string;
info.sumMbamo;string;
info.name;string;
info.mfName;string;
info.dateUpdate;datetime;
info.dateReg;string;
info.currencyName;string;Наименование валюты по общероссийскому классификатору валют.
info.currencyCode;string;Цифровой код валюты по общероссийскому классификатору валют.
info.sumSubFzFb;string;
info.dateAgreem;datetime;
info.regNum;string;
info.rate;float;Курс иностранной валюты по отношению к рублю.
info.regnumRgz;string;
info.numAgreem;string;
info.outerSystem;string;
info.currencySum;float;
info.sumMba;string;
info.mfCode;string;
receiver;list of [array];В блоке указаны сведения о получателях субсидий. Блок является обязательным. Для одного соглашения может указываться несколько получателей субсидий.
receiver.oktmo;string;Код территории субъекта РФ в соответствии с Общероссийским классификатором территорий муниципальных образований, которому предоставляется межбюджетный трансферт.
receiver.shortName;string;Сокращенное наименование юридического лица на русском языке.
receiver.dateAccount;datetime;Дата постановки на учет в налоговом органе.
receiver.detached;string;Признак обособленного подразделения (филиала) для получателя. Техническое поле. Определяется по Реестру участников бюджетного процесса, а также юридических лиц, не являющихся участниками бюджетного процесса
